,OriginalTweet,Sentiment
1537,handsanit big name brand store hand saint 5 day now one store deliver 30 governmentneed2stepin coronaviru retail london,nan
1538,way home grocery store park lot look like day thanksgiv walmarttarget look like black friday panicky judice victim may abl get store like risk covid19,nan
1539,real canadian superstar online shop also down guess it me covid19 strike again,nan
1540,hey parent your gonna take kid school coronapocalyps mayb dont take super busi grocery store kinda defeat purpose covid19 fridaythe13th,nan
1541,peopl continue experi everyday legal problem covid19 impact start felt antics increase experi employ consume insure health law problem,nan
1542,think go see quit significa shortage next month price gonna go well higher employ fresh grad there labour market good conduit in might find tougher get covid19,nan
1543,grocery store last night photo courtesy friend im partake mad could end feed family what cupboard freezer could interest covid19,nan
1544,current world crisis around covid19 affect social amp economy sphere price day day common espect food almost doubt total stock better u stock enough supply common espect food now,nan
1545,stevescalis housetop fuck liar help stock market bank fuck help work class peopl paid sick leav free covid19 test treatment stop evictionsloan payment expand rather reducingconfus food stam,nan
1546,canada peep finna close border stock now price store finna skyrocket wanna panic anyth it now time stay bless covid19 coronapocalyps coronaviru,nan
1547,pleas pleas rememb stockpile supply stock pet food pet supply seem like mani peopl overlook fur babi doomsday shop list covid19,nan
1548,work supermarket right like day thanksgiv prep blizzard wo snowconfus half help last 4 day towork said craziest since superstorm sand 2012 it friday with fol covid19 fridaythe13th help,nan
1549,accord dmsgrp market coronaviru may shift older gene online shop retail,nan
1550,dont forget stock extra food babi time covid19 coronaalert coronaoutbreak corona,nan
1551,may toilet paper hous thank husband stock essential late night supermarket run yesterday couid covid19,nan
1552,tip bagger cashier fiancãcopyright work grocery store month pay low stress deal right high pleas conside tip them random tip got cashier help immense bill covid19 panicky,nan
1553,hoard coronaviru peopl stock pile food essential item time better peopl lock poor hold titan buy need theyll enough everyone surviv common sens get here,nan
1554,soap actual amaz reassure science wash hand enemy covid19 basic antiwar ran supermarket dont panic if you still got soap is to increase ration scientist twitterconfus,nan
1555,your shoppingpan buy today pleas think get extra item food bank covid19 panicky,nan
1556,grocery store lineup back store covid19,nan
1557,day 1 selfish didnt read guidance sent child 1 school even though child 2 home fever tri stock food total mind blank end 12 cream egg bar dairy milk coronaviru flattenthecurv friday13th fail,nan
1558,day incur period 114 day gene 5 day let see went grocery store yesterday covid19,nan
1559,thought company go prosecute profit couid 19 asdaserviceteam anda online shop increase amend order shame you,nan
1560,went regularly schedule grocery shop basic food stock icecream though coronaviru,nan
1561,someon pull gun inside toronto supermarket today coronaviru coronapocalyps coronaoutbreak covid19,nan
1562,yall tri normalconfus grocery shop today it insane there live trader joe like 90 store bare shelf didnt take pictur have covid2019 keepcalmandwashyourhand,nan
1563,think it funny everyth get cancel gather were for gather grocery store coronaviru coronaviruscanada covid2019,nan
1564,govwhitm covid19 non essential retail store dont provide food med equip need shutdown ikea pennsylvania store time thousand peopl canton mi store were scare dont want call due i,nan
1565,feel battle coronaviruscovid19 take long time end le year anyway necessary develop faster test apparatus vaccine feel meaning buy mani food daily recess stock hous,nan
1566,im worry much online shop ill dont sport work distract me as driver go get super friendly covid19 as shoptilyoucough,nan
1567,went supermarket eerie co covid19 upside i peopl heard daughter shout look they got syphilis point,nan
1568,walmart ceo mcmillan said hard keep hand saint stock demand outpace supply thu confirm anyon store late kinda knew already,nan
1569,hey nice retail worker pleas someth one prepare for rule store fault nice understand behind covid19 coronaoutbreak,nan
1570,went grocery store toilet paper shelf empty chees full stock problem sold toiletpaperapocalyps coronapocalyps covid19,nan
1571,seem got memo late neighborhood grocery store covid19 coronapocalyps panicky covid2019,nan
1572,psa kind retail employee covid19 situate also kind custom need fight break store,nan
1573,know therapistsoci worker grocery store employee pleas go tell love time need coronaviru,nan
1574,herway garden retail store close employee test posit covid19,nan
1575,abc abc7eyewit coronaviru walmart coronaviru induce grocery deliver crisis online grocery deliver suffer nationwide overloadampshutdown panick shop prop custservic nice,nan
1576,worst part covid19 find food family weve unable buy food grocery store week final pick chicken yesterday everyth els wed order outta stock skepticalannoyedundecideduneasyorhesit,nan
1577,know normal tweet lookey scare go work in work grocery store wish luck peopl covid19 panicky coronaviru,nan
1578,fun fact toiletpap actual wipe as someth viselike maybea towel oh no start noth grocery store panic coronaviruspandem covid19 tpformybunghol publix roger,nan
1579,work food company gonna name brand name nonperish lot sell precis what panicbought thread panicky unnecessary,nan
1580,0 chance premier league game happen weekend wouldnt dare shouldnt already get shaft ticket price dont auda play tandem well covid19 coronaviruspandem,nan
1581,whan coronaviru china global economic china low food health safety hygiene regulator low standard plu lack government transpor democracy honest covid19 covid19,nan
1582,update continue monitor effect covid19 commun decide postpone tast march howe still open busi forget offer online shop deliver service,nan
1583,tomorrow saturdayconfus drop store pick awesome wing newwingord dinner sample new rumchata limen free tast fun start 4 am cheer choose901,nan
1584,worker keep sam club costco walmart target grocery store run country deserve round applaus covid19,nan
1585,lol funny thing corona virus issue work pharmacist past month ghanaian bought ship nose mask hand saint get hand china price skyrocket covid19,nan
1586,right even wholesale dont stock hand saint nosemask one also sell almost 5 time normal price coronaoutbreak covid19,nan
1587,wit three fight supermarket today shelf bare covid19 coronaviruspandem,nan
1588,govmikedewin columbusgov nicki utv done combat panic buyinghoard go supermarket lack food regular day day live covid19 coronaviru,nan
1589,current local grocery store tri buy weekly grocery soup except one kind guess one covid19 panicky,nan
1590,big winner panic grocery store pal buy like crazy although store remain open see lot food go wast week caus pal buy far needa use right now actual really sad show fun pal covid19,nan
1591,online shop covid19 limit retail,nan
1592,johnmagdesian eugen realdonaldtrump unless it mommy get covid19 go grocery store afternoon amp classic non empathy tune chang i con,nan
1593,would think peopl avoid crowd supermarket pack pal then covid19,nan
1594,trump say hell purchase large amount crude oil cheap price it good time fill up oil price crash week ago covid19 trumpaddress,nan
1595,stock clean supply disinfect hand saint two week ago wise now panic covid19 engulf cyprus peopl empty shelf supermarket tweet tomorrow morn go buy food feel anxious,nan
1596,im annoy danish pal selfishly empty shelf grocery food toilet paper not covid19dk coronaviru corona covid19 panic toiletpap,nan
1597,covid19 technology may full take 1 cashless shop 2 instant message 3 remote job 4 internet thing 5 online duc name it coronapocalyps covid19nigeria coronaoutbreak,nan
1598,felt anxiety yet go grocery store covid19 coronaviru centime,nan
1599,peopl understand worry spread coronaviru covid19confus,nan
1600,call healthcare provide think expos covid19 develop fever cough short breath pleas allow panic set in need hoard food medic supply fact harm commun confuse,nan
